sentence,trigger,taskQuestion,correctAnswer
كل باريستا محترف يدرب نفسه للنقش عالقهوه,201,,
كل مجرم جريئ يهيئ نفسه نفسياً قبل الجريمة,201,,
كل ممثل شغوف يراجع نفسه قبل المسرحيه,201,Here is where a question will be. Press yes to continue.,
كل مبرمج شغوف يطور نفسه لحل المشكلات,201,This could be another question. Press no to continue.,
كل طالبة مجتهده تعلم نفسها بعد الحصة,201,,
كل ممرض منتبه ينظف نفسه بين الشفتات ,201,,
كل شخص خواف يقنع نفسه يواجه مخاوفه ,201,Maybe another question here. Press yes to continue.,
كل رسام محترف يعلم نفسه الرسم بالتدريج,201,,
كل رياضي مهتم يجهز نفسه قبل المسابقة,201,And another question here. Press no to continue.,
كل متسلق خبير يحمي نفسه قبل التسلق ,201,,
كل ام مقصره تسامح نفسها على  التقصير,111,,
كل اب غايب يلوم نفسه لزعل عياله,211,Did April forget the book?,
كل مجرم سفاح يخفي نفسه من المباحث ,41, ,
كل دكتورة تجميل تجمل نفسها عشان التسويق ,21, ,
كل مريض مُعادي يحبس نفسه في الحجر ,211, ,
كل موظف ناجح يلزم نفسه لنجاح شغله,131, ,
كل طالب متوتر يطمن نفسه بعد الدراسة,71, ,
كل مدير مهموم يهلك نفسه عشان يخلص ,11, ,
كل دكتور يخطء يعاتب نفسه بعد العمليات,21, ,
كل مسبب لحادث يحمل نفسه ذنب الاذى,111, ,
كل ممثل مغرور مدح نفسه وقت العرض,71,Is a hen a female chicken?,
كل طباخ محترف يطور نفسه لأحتياجات المطعم ,181, ,
كل مصوره مبدعه تدرّب نفسها على زوايا ,231,Did Aaron watch a movie?,
كل مغنية مشهوره تهيء نفسها قبل الحفل,231, ,
كل مدرسة مرتبة تراجع نفسها لتحضير الحصص,31, ,
كل طفله تنضج تاكل نفساه عشان تتعلم,41,Did Michael wonder about the game?,
كل متدرب مصر يعلم نفسه عشان يتطور,31,Did Joshua wonder about the cat?,
كل رسامه مبهره تنظف نفسها بعد الرسم,171, ,
كل رياضيه مبتدأه تقنع نفسها قبل التمرين,11, ,
كل محاسبه يديده تلعم نفسها عشان تتفوق ,131, ,
كل مسافره متحمسه تجهز نفسها قبلها بفتره,111, ,
كل عالمة حرصه تحمي نفسها  قبل التجارب,111,,
كل مدمن متشافي يسامح نفسه عشان يتخطى ,211, ,
كل محامية مهمله تلوم نفسها على الخساره ,131, ,
كل طفلة مشاغبه تخفي نفسها من العقاب,41, ,
كل ممثل مخلص يجمل نفسه لمتطلبات الدور,11, ,
كل ممرضه مصابة تحبس نفسها فترة المرض,11,Was there blackmail?,
كل ملكة مخلصة تلزم نفسها لخدمة شعبها,161, ,
كل مديره مهتمه تطمن نفسها بنجاح موظفينها ,161,Did they wash the park?,
كل مستشاره متعمقة تهلك نفسها لصحة مرضاها,31, ,
كل مسؤولة مهتمه تعاتب نفسها لفشل الموظفيين,231, ,
كل مربية مسؤوله تحمل نفسها ذنب الضرر,111, ,
كل صحفية تتنافس تمدح نفسها عشان تفوز,231, ,
كل محامية شغوفه تطور نفسها مع القضايا,131,Did Mark eat the pizza?,
كل مسلم ملتزم يذكر نفسه بتوقيت الصلاة ,31, ,
الباريستا المحترف يدرب نفسه للنقش عالقهوه,21, ,
المجرم الجريئ يهيئ نفسه نفسياً قبل الجريمة,111,Did Eliza read a book?,
الممثل الشغوف يراجع نفسه قبل المسرحية,71, ,
المبرمج الشغوف يطور نفسه لحل المشكلات,71, ,
الطالبة المجتهدة تعلم نفسها بعد الحصة,41, ,
الممرض المنتبه ينظف نفسه بين الشفتات,21,Was there a bribe?,
الشخص الخواف يقنع نفسه يواجه مخاوفه,211, ,
الرسام المحترف يعلم نفسه الرسم بالتدريج,111,,
الرياضي المهتم يجهز نفسه قبل المسابقة,11, ,
المتسلق الخبير يحمي نفسه قبل التسلق,21, ,
الأم المقصرة تسامح نفسها على التقصير,111, ,
الأب الغائب يلوم نفسه لزعل عياله,41, ,
المجرم السفاح يخفي نفسه من المباحث,231, ,
الدكتورة التجميل تجمل نفسها عشان التسويق,211,Did Jason sell a t-shirt?,
المريض المعادي يحبس نفسه في الحجر,41,Was there testimony?,
الموظف الناجح يلزم نفسه لنجاح شغله,111, ,
الطالب المتوتر يطمن نفسه بعد الدراسة,31,Was there a complaint?,
المدير المهموم يهلك نفسه عشان يخلص,211, ,
الدكتور المخطئ يعاتب نفسه بعد العمليات,31, ,
المسبب للحادث يحمل نفسه ذنب الأذى,71,Did Pam brush her teeth?,
الممثل المغرور مدح نفسه وقت العرض,171, ,
الطباخ المحترف يطور نفسه لأحتياجات المطعم,21, ,
المصورة المبدعة تدرّب نفسها على زوايا,71, ,
المغنية المشهورة تهيء نفسها قبل الحفل,231,Did Alexis play tennis?,
المدرسة المرتبة تراجع نفسها لتحضير الحصص,131, ,
الطفلة الناضجة تأكل نفسها عشان تتعلم,11, ,
