sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer
كل موظف شقيان بيكافئ نفسه بعد المشروع,224,1,0,0,0,0,0,0,0,,
كل طالبة مجتهدة بتكافئ نفسها بعد الامتحان,225,0,1,0,0,0,0,0,0,,
كل ممثل مشهور بيشوف نفسه في المسلسلات,226,0,0,1,0,0,0,0,0,Here is where a question will be. Press yes to continue.,
كل رياضية أولمبية بتشوف نفسها في الجرنان,227,0,0,0,1,0,0,0,0,This could be another question. Press no to continue.,
كل راقص متمرس بيصور نفسه في التمارين,228,0,0,0,0,1,0,0,0,,
كل مرشدة سياحية بتصور نفسها عند الاثار,229,0,0,0,0,0,1,0,0,,
كل طفل صغير بيأكل نفسه في الحضانة,230,0,0,0,0,0,0,1,0,Maybe another question here. Press yes to continue.,
كل شيف محترف بتأكل نفسها من الطبيخ,231,0,0,0,0,0,0,0,1,,
كل اهوجي تعبان بيّشرب نفسه من القهوة,224,1,0,0,0,0,0,0,0,And another question here. Press no to continue.,
كل بنت عطشانة بتشرب نفسها من الكوباية,225,0,1,0,0,0,0,0,0,,
كل مذيع شاطر بيكلم نفسه عشان يتمرن,226,0,0,1,0,0,0,0,0,,
كل وزيرة جديدة بتكلم نفسها ابل الخطاب,227,0,0,0,1,0,0,0,0,Did April forget the book?,
كل مغني مغرور بيحب نفسه في الاستعراض,228,0,0,0,0,1,0,0,0, ,
كل ست شجاعة بتحب نفسها في المجتمع,229,0,0,0,0,0,1,0,0, ,
كل ولد غلطان بيسامح نفسه بعد العقاب,230,0,0,0,0,0,0,1,0, ,
كل مسجونة ندمانة بتسامح نفسها بعد الخروج,231,0,0,0,0,0,0,0,1, ,
كل موظف مركز بيعاين نفسه بعد المشروع,224,1,0,0,0,0,0,0,0, ,
كل دكتورة جامعية ببيعاين نفسها بعد المحاضرة,225,0,1,0,0,0,0,0,0, ,
كل سياي جاهز بيرشح نفسه عشان الانتخابات,226,0,0,1,0,0,0,0,0, ,
كل مديرة طموحا بترشح نفسها عشان المركز,227,0,0,0,1,0,0,0,0, ,
كل رياضي متحمس بيشجع نفسه في المباراة,228,0,0,0,0,1,0,0,0,Is a hen a female chicken?,
كل مغنية مشهورة بتشجع نفسها قبل الاستعراض,229,0,0,0,0,0,1,0,0, ,
كل مجرم مسجون بيحاسب نفسه على الحبسة,230,0,0,0,0,0,0,1,0,Did Aaron watch a movie?,
كل أم قلوقة بتحاسب نفسها علي الحوادث,231,0,0,0,0,0,0,0,1, ,
كل ولد صغير بيرسم نفسه في الرسماة,224,1,0,0,0,0,0,0,0, ,
كل رسامة معروفة بترسم نفسها عشان تتشهر,225,0,1,0,0,0,0,0,0,Did Michael wonder about the game?,
كل كاتب محبوب بيتحدى نفسه عشان يتحسن,226,0,0,1,0,0,0,0,0,Did Joshua wonder about the cat?,
كل ممرضة مبتدئة بتتحدى نفسها في الشغل,227,0,0,0,1,0,0,0,0, ,
كل سواء اوبر بيراجع نفسه قبل الرحلة,228,0,0,0,0,1,0,0,0, ,
كل محامية متوترة بتراجع نفسها قبل الجلسة,229,0,0,0,0,0,1,0,0, ,
كل موسيقار حساس بيسمع نفسه في التسجيلات,230,0,0,0,0,0,0,1,0, ,
كل ممثلة صوتية بتسمع نفسها في الافلام,231,0,0,0,0,0,0,0,1,,
كل راجل غني بيدلع نفسة بعد الشأة,224,1,0,0,0,0,0,0,0, ,
كل عروسة جديدة بتدلع نفسها قبل الفرح,225,0,1,0,0,0,0,0,0, ,
كل صيدلي عيان بيعالج نفسه في الصيدلية,226,0,0,1,0,0,0,0,0, ,
كل دكتورة كبيرة بتعالج نفسها في المستشفى,227,0,0,0,1,0,0,0,0, ,
كل سواق جديد بيطمن نفسه قبل الامتحان,228,0,0,0,0,1,0,0,0,Was there blackmail?,
كل مريضة متوترة بتطمن نفسها بعد العلاج,229,0,0,0,0,0,1,0,0, ,
كل مهندس ذكي بيجهز نفسه قبل المشروع,230,0,0,0,0,0,0,1,0,Did they wash the park?,
كل جراحة حريصة بتجهز نفسها قبل العملية,231,0,0,0,0,0,0,0,1, ,
كل عجوز حكيم بيعلم نفسه من الحياة,224,1,0,0,0,0,0,0,0, ,
كل ممثلة قديرة بتعلم نفسها من الأدوار,225,0,1,0,0,0,0,0,0, ,
كل مدرس مضغوط بيريح نفسة بعد الامتحانات,226,0,0,1,0,0,0,0,0, ,
كل خياطة معروفة بدرب نفسها في التطريز,227,0,0,0,1,0,0,0,0,Did Mark eat the pizza?,
كل غطاس قديم بيحمي نفسه من الخطر,228,0,0,0,0,1,0,0,0, ,
كل باريستا محترف بيدرب نفسه لنقش القهوه,229,0,0,0,0,0,1,0,0, ,
كل مجرم جريئ يهيئ نفسه قبل الجريمة,230,0,0,0,0,0,0,1,0,Did Eliza read a book?,
كل ممثل متحمس يراجع نفسه قبل المسرحيه,231,0,0,0,0,0,0,0,1, ,
كل مبرمج محترف بيدرب نفسه على البروجرام,224,1,0,0,0,0,0,0,0, ,
كل طالبة مجتهده بتعلم نفسها بعد الحصة,225,0,1,0,0,0,0,0,0, ,
كل ممرض منتبه بينظف نفسه بين الشفتات,226,0,0,1,0,0,0,0,0,Was there a bribe?,
كل شخص خويف بيشجع نفسه قبل المواخها,227,0,0,0,1,0,0,0,0, ,
كل رسام صبور بيعلم نفسه على مهله,228,0,0,0,0,1,0,0,0,,
كل رياضي مهتم بيجهز نفسه قبل المسابقة,229,0,0,0,0,0,1,0,0, ,
كل متسلق خبير بيحمي نفسه قبل التسلق,230,0,0,0,0,0,0,1,0, ,
كل ام مقصره بتسامح نفسها على التقصير,231,0,0,0,0,0,0,0,1, ,
كل اب غايب بيلوم نفسه على الغياب,224,1,0,0,0,0,0,0,0, ,
كل مجرم سفاح بيخبي نفسه من المباحث,225,0,1,0,0,0,0,0,0, ,
كل دكتورة تجميل بتجمل نفسها عشان التسويق,226,0,0,1,0,0,0,0,0,Did Jason sell a t-shirt?,
