sentence,trigger,taskQuestion,correctAnswer
 لمُدرسة,224,,
 القِطُّ يَأْكُلُ السَّمَكَ بِالْحَدِيقَةِ.,225,Maybe another question here. Press yes to continue.,
 الأُسْتَاذُ يَشرَحُ الدَّرْسَ لِلطُّلَّابِ بِنَشَاطٍ.,226,,
3هَلْ تَذْهَبِينَ إِلَى السُّوقِ غَدًا؟,227,And another question here. Press no to continue.,
الطَّائِرَةُ تَحَلِّقُ فَوْقَ الْبِحَارِ بِهُدُوءٍ.,228,,
كَانَ الْوَلَدُ يَلْعَبُ بِالْكُرَةِ فِي السَّاحَةِ.,229,,
الشَّمْسُ تُشرِقُ صَبَاحًا بَيْنَ الْجِبَالِ.,230,Did April forget the book?,
 الْمُعَلِّمَةُ تُرَاجِعُ الدُّرُوسَ مَعَ التَّلَامِيذِ.,231, ,
فِي الْمَكْتَبَةِ كُتُبٌ عَدِيدَةٌ عَنْ التَّارِيخِ وَالْعُلُومِ.,224, ,
 الْقَمَرُ يُنِيرُ اللَّيْلَ بِضَوْئِهِ الْفِضِّيِّ.,225, ,
 أَحْمَدُ يَقْرَأُ الْكِتَابَ بِصَوْتٍ عَالٍ وَوَاضِحٍ.,226, ,
 تَسَاءَلَ الطُّلَّابُ عَنْ مُشْكِلَةِ الدَّرْسِ بِكُلِّ دِقَّةٍ.,227, ,
 سَعِدَتِ الطَّالِبَةُ بِالْمُسابَقَةِ وَحَصلَتْ عَلَى جائزةٍ قيِّمةٍ.,228, ,
 القَائدُ يَصِفُ التَّكتيكاتِ لِأفرادِ الجيشِ بدقَّةٍ عاليةٍ.,229, ,
 فَتَحَتْ الطَّالِبةُ الكِتَابَ وَبدأتْ القراءة بحماسٍ.,230, ,
حَفِظَ التَّلَامِيذُ الدَّرْسَ بعد المراجعة بتركيزٍ كبيرٍ.,231,Is a hen a female chicken?,
لما هو كان في العاصمة الوزير  قابل الرئيس,224, ,
لما هو كان في البيت الكهربائي حاسب الاب,225,Did Aaron watch a movie?,
لما هو كان في المطعم الشيف اكل الويتر,226, ,
لما هو كان في المعمل العالم علم المساعد,227, ,
لما هو كان في المستشفى الجراح كلم الممرضة,228,Did Michael wonder about the game?,
لما هو كان في المكتب المحامي حضر المتهم,229,Did Joshua wonder about the cat?,
لما هو كان في الورشة النجار درب المساعد,230, ,
لما هو كان علي المركب القبطان شجع التاقم,231, ,
لما هو كان في الاسم الضابط حيا النقيب,224, ,
لما أنا كنت في المستشفى الممرضة نصحت العيان,225, ,
لما أنا كنت في المدرسة المدرسة علمت الاطفال,226,,
لما أنا كنت في الجنينة الناني فسحت الولاد,227, ,
لما أنا كنت علي الطيارة المضيفة ساعدت المسافرين ,228, ,
لما أنا كنت في المكتب السكرتيرة قابلت المدير,229, ,
لما أنا كنت في الاستديو المذيعة حيت الجمهور,230, ,
لما أنا كنت في اللوكيشن الممثلة عرضت الكاتب,231,Was there blackmail?,
لما أنا كنت في السوق الخياطة فصلت التاجر,224, ,
لما أنا كنت في البيت الشغالة شافت الحرامي,225,Did they wash the park?,
لما أنا كنت في الحضانة الام ودعت الولاد,226, ,
لما أنا كنت في المطبخ الطباخة اكلت السواق,227, ,
لما أنا كنت في الصالون الكوافيرة ظبطت الزبونة,228, ,
لما أنا كنت في المستشفى الداية ساعدت الام,229, ,
لما  أنا كنت في الورشة الرسامة نقدت الفنان,230,Did Mark eat the pizza?,
لما أنا كنت في المستشفى الدكتور عالج العيان,231, ,
لما أنا كنت في الموقع المهندس عين الشغل,224, ,
لما أنا كنت في المطار الطيار قابل المضيفة,225,Did Eliza read a book?,
لما أنا كنت في المحكمة القاضي عاقب المجرم,226, ,
لما أنا كنت في الشغل السواق وصل الزبون,227, ,
لما أنا كنت في المدرسة الناظر عاقب الطلاب,228, ,
لما أنا كنت في العاصمة الوزير  قابل الرئيس,229,Was there a bribe?,
لما أنا كنت في البيت الكهربائي حاسب الاب,230, ,
لما أنا كنت في المطعم الشيف اكل الويتر,231,,
لما أنا كنت في المعمل العالم علم المساعد,224, ,
لما أنا كنت في المستشفى الجراح كلم الممرضة,225, ,
لما أنا كنت في المكتب المحامي حضر المتهم,226, ,
لما أنا كنت في الورشة النجار درب المساعد,227, ,
لما أنا كنت علي المركب القبطان شجع التاقم,228, ,
لما أنا كنت في الاسم الضابط حيا النقيب,229,Did Jason sell a t-shirt?,
