sentence,trigger,taskQuestion,correctAnswer
"يوم هي كانت في الحديقة، المزارعه بعدت الاطفال",201,,
"يوم هي كانت في المطبخ، الطباخة علمت المبتدأين",201,,
"يوم هو كان في الموقع، المهندس فحص التصنيع",201,Here is where a question will be. Press yes to continue.,
"يوم هي كانت فالصف، المدرسة هزبت الطلاب",201,This could be another question. Press no to continue.,
"يوم هو كان في المكتب، المحاسب راجع الحسابات",201,,
"يوم هو كان في العمليات، الدكتور غلط بالجهاز",201,,
"يوم هي كانت في المستشفى، الصيدلانية صرفت الادوية",201,Maybe another question here. Press yes to continue.,
"يوم هي كانت في العمليات، الممرضة ساعدت الدكتور",201,,
"يوم هو كان في المركز، الشرطي حقق القضية",201,And another question here. Press no to continue.,
"يوم هو كان في الميناء، البحارجهز طراده",201,,
"يوم هو كان في الملعب، المدرب درب اللاعبين",111,,
"يوم هي كانت في المعرض، الرسامه عرضت اللوحات",211,Did April forget the book?,
"يوم هو كان في المكتب، المدير نظم الاجتماعات",41, ,
"يوم هي كانت في المسرح، الممثلة مثلت الدور",21, ,
"يوم هو كان في المطار، الطيار تجهز للاقلاع ",211, ,
"يوم هي كانت في الأجتماع، السكرتيره كتبت الملاحضات",131, ,
"يوم هي كانت في الحديقة، الشغالة لعبت الياهل",71, ,
"يوم هو كان في الدوار، السواق غلط باللفة",11, ,
"يوم هي كانت في العرض، المصممه عرضت تصاميمها",21, ,
"يوم هو كان في الطواري، الجراح انقذ الشيبه",111, ,
"يوم هو كان في البيت، الكهربجي صلح الليتات",71,Is a hen a female chicken?,
"يوم هو كان في المؤتمر، السفير القى كلمة",181, ,
"يوم هي كانت في الطيارة، المضسفة يابت الاكل",231,Did Aaron watch a movie?,
"يوم هو كان في السجن، الحارس زخ الشاردين",231, ,
"يوم هو كان في الجم، المدرب مرن المتسابقين",31, ,
"يوم هي كانت في الصف، المعلمة درست الاطفال",41,Did Michael wonder about the game?,
"يوم هي كانت على المنصة، العارضة استعرضت الفساتين",31,Did Joshua wonder about the cat?,
"يوم هو كان في المصنع، النجار صنع طاولة ",171, ,
"يوم هو كان في الاستوديو، المذيع قدم نشرة الأخبار ",11, ,
"يوم هو كان في المشغل، الخياط جهز المخور",131, ,
"يوم هي كانت في القاعة، المنظمة جهزت الزينة",111, ,
"يوم هي كانت في المكتب، المترجمة ترجمت الوثائق",111,,
"يوم هو كان في المستشفى، الأخصائي بدأ الفحوصات",211, ,
"يوم هي كانت في المبنى، الفراشة نظفت الغرف",131, ,
"يوم هي كانت في العيادة، الأخصائية قدمت نصايح",41, ,
"يوم هو كان في المحل، البايع ساعد الزبائن",11, ,
"يوم هي كانت في المدرسة، المرشدة راقبت الطلاب",11,Was there blackmail?,
"يوم هو كان في المختبر، العالم اكشف مرض",161, ,
"يوم هو كان في القراج، الميكانيكي صلح السيارة",161,Did they wash the park?,
"يوم هي كانت في السوبرماركت، الكاشيرة  كيست الاغراض",31, ,
