taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w,wordcount
هي ديه كانت جملة تدريبية؟,9.0,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
هي ديه كمان كانت جملة تدريبية؟,9.0,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
هو ممكن ترمش و الجملة على الشاشة؟,7.0,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
هو يمكن تبص للجنب؟,7.0,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
هو حيكون في جمل تدريبية تنية؟,7.0,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هو الرسام بيتمرن في المعهد؟,7.0,1.0,BVA.76,كل رسام صبور بيمرن نفسه في الورشة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.01,أنثى الفرخة اسمها دجاجة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,NP.16,كل عروسة جديدة بتدلع العريس قبل الفرح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.31,لما هو كان في المستشفى الدكتور عالج العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
هو كان في اجتماع امبارح؟,9.0,1.0,in-situ.01,‏هو كان المدير الجديد عايز ايه في الاجتماع امبارح؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.46,لما أنا كنت في الموقع المهندس راجع التصميم.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.38,هو كانت المذيعة اللطيفة بتكلم الفنانة على الراديو الصبح؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.60,السواء الاوبر بيراجع نفسه قبل الرحلة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هي الممرضة نصحت الدكتور؟,7.0,1.0,BA.1,لما هي كانت في المستشفى الممرضة نصحت العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.45,كل مسلمة ملتزمة بتفكر عشان الصلاة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6
,,1.0,yn.26,هو كانت الست المستعجلة نسيت التليفون في البيت فوق؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.16,لما أنا كنت في الجنينة الفلاحة ترضت الولاد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.02,‏هو كان الفنان الموهوب رسم مين في اللوحة المشهورة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.46,ندى سخنت ببرونة اللبن بتاعت الشغل.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هو كان في مسابقة في المدرسة؟,9.0,1.0,cleft.63,ايه الي كانت الرسامه المبدعة بترسمه في المسابقة المدرسية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.30,الرياضية المبتدأه بتهيأ نفسها قبل التمرين.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,congruent.16,القطة متغطية بفرو أبيض.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,cleft.61,مين الي كانت الست الطيبة بتساعده في غرفة الطارئ؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.31,بعد ما اتسرق اتصل الضحية بالكيلومتر.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BVA.01,كل طالبة مجتهدة بتكافئ نفسها بعد الامتحان.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,cleft.62,مين الي كانت البنت النشيطة بتارضه في جنينة الحي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.76,كل رياضي مهتم بيحسن نفسه قبل المسابقة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هي الدكتورة بتشتغل في المستشفى؟,9.0,1.0,NP.17,كل دكتورة كبيرة بتعالج المرضى في المستشفى.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.03,هو كان المذيع السياسي بينتقد مين في المقابلة الأخيرة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.17,نيويورك مدينة مزعجة و زحمة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5
,,1.0,yn.39,هو كانت الملكة العادله بتفضل الاقدم من الوزرة الملكين؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
