condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
in-situ.01,‏هو كان المدير الجديد عايز ايه في الاجتماع امبارح؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.06,هو كانت االطالبة المجتهدة بتذاكر ايه من المواد الصعبة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.08,هو كان الولد الصغير كسب ايه في مسابقة الرسم؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.10,هو كانت الوزيرة المرشحة بتقترح ايه في خطبها الاخير؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.11,هو كانت الساحرة الشريرة بتخطط ايه في الكتاب المشوق؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.12,هو كانت الدكتورة الجامعية بتناقش ايه في المؤتمر العلمي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.13,هو كان العالم المعاصر دارس ايه في جامعة الاسكندرية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.14,هو كانت الشيف المحبوبة طبخة ايه في البرنمج المباشر؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.15,هو كان البقال العجوز بيبيع ايه في محلة الصغير؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.16,هو كانت الام المرتب بتحضر ايه في البيت الجديد؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.18,هو كان الحكم المرتشي غير ايه في البطوله العالميه؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.19,هو كان المخرج الفرنسي بيعرض ايه في المختمع العربي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.20,هو كان الطباخ المهمل عمل ايه عشان يتؤف فجأه؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.22,هو كانت الخياطة الشاترة بطرز ايه عشان العروسة الجميلة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.25,هو كانت المريضة الجعانة بتاكل ايه عشان تتحسن حلتها؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.02,‏هو كان الفنان الموهوب رسم مين في اللوحة المشهورة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.03,هو كان المذيع السياسي بينتقد مين في المقابلة الأخيرة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.04,هو كان الاب الفخور بيشجع مين في ماتش الكورة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.05,هو كان السباح المتحمس بينافس مين في البطولة الافريقية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.07,هو كان المخرج الاجنبي بيكلم مين عن الفلم الجديد؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.09,هو كانت البطلة الشجاعة بتحارب مين في آخر رواية؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.17,هو كانت اللاعبة التعبانة بتنافس مين في المتش الاخير؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.21,هو كان البلوجر الغيور فضح مين في البوست الطويل؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
